"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Denmark","DNK","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","104000000","125000000","164000000","212000000","240000000","266942015.475092","-190295662.759812","75799728.5000125","89464875.4173497","223893245.381989","104119701.030049","99454249.8990494","133850097.285508","60130799.9938145","-15356842.1248586","111103417.555728","163266341.137938","84660817.1227545","503338112.91511","1089565259.94644","1132146349.95011","1552515350.88703","1017385349.25763","1712766177.9681","5006178362.05012","4139423319.68616","773444115.829277","2791671359.18634","6674661469.00366","16847919225.9808","36013297907.1949","9286404805.96887","4430703178.95051","1184825159.91313","-8804165491.10019","12847031342.3671","2385249288.38418","11809448518.2128","2191215665.76653","3779250819.20381","-11501101751.4985","13558894634.346","-16349825685.2634","680338945.938662","6577348986.65251","1842994663.46023","7804020827.15213","3607276299.5179","8764023726.34583","-3801733788.9774","1294050740.46455","16997286703.2255","27627359889.4076","8951417794.49773","18540782141.6393","",
"Dominican Republic","DOM","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","71600000","65000000","43500000","34500000","53600000","63900000","60000000","71500000","63600000","17100000","92700000","79700000","-1400000","48200000","68500000","36200000","50000000","89000000","106100000","110000000","132800000","145000000","179700000","190700000","208100000","417400000","134200000","408700000","668900000","1344900000","989000000","1087900000","926000000","616530000","934480000","1118400000","1528700000","2252900000","2728400000","1695300000","1820200000","2197500000","3415900000","1599900000","2385300000","2227300000","2516100000","3597900000","2744500000","2829200000","2460600000","3349700000","4050000000","4750500000","4475900000","",
"Algeria","DZA","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","80120000","600000","41490000","51000000","358000000","119000000","187000000","178452646.789187","135152172.302668","25692486.0358378","348669038.123928","13207259.3615813","-53569192.6448124","417641.162800209","802668.874073183","397788.2970683","5316528.3778563","3711537.89978504","13018265.0203164","12091646.7968636","334914.564224984","11638686.4524336","30000000","1000","1000","1000","270000000","260000000","606600000","291600000","280100000","1113105540","1064960000","637853030","884749030","1155999999.99994","1841000000.00007","1686736539.70384","2638607033.75183","2746930734.16533","2300369124.15827","2571237024.68517","1500402452.86349","1691886707.50796","1502206170.55838","-537792920.921856","1638263953.77736","1230243450.87888","1466116068.03411","1381200049.59264","1143918159.62918","869194073.014935","241796029.580125","1214378660.66465","1226414841.37248","",
"East Asia & Pacific (excluding high income)","EAP","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","417482884.6","514955384.5","533905576.7","1023388711.3","1164907900.89541","1873082205.89357","1404340314.5379","1001681449.00282","1135772959.89307","924555968.888299","1376936767.17258","2273131439.4936","2402953612.33293","2818960513.35525","2837398519.27008","2948205676.24678","3115986509.39046","3923247338.26571","6738630060.2031","8352613404.98347","10388726608.7454","13159916722.517","21337095439.0666","38802115561.4859","45467084634.0693","50702487674.5573","58558294982.4479","63348869777.8361","59496975482.971","53026891039.0539","48073062804.9582","52321787567.0939","63358392916.8554","68411568113.6821","83215370132.9919","129276078938.685","152747752249.904","193531537703.722","211610910942.513","155963341319.019","298436521980.781","337099826364.325","304476165746.708","361637002662.234","329530055513.562","305948434262.483","220117728865.986","239673765902.258","311000387127.277","260822975228.383","302942380265.47","437579910266.395","278645448471.368","128417024926.728","111853498478.856","",
"Early-demographic dividend","EAR","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","1914402865.3601","1808573666.57858","1117654873.42303","1654247187.43176","-1153401256.29728","5340130963.96782","1366345486.15829","2294355142.98216","3339114289.56054","1990379982.77411","397730710.966846","12754228752.7815","14991603285.1211","8922933500.61839","8873070126.29255","5701590832.24196","6451387070.12535","3547341589.67384","8503024878.31051","8275108509.53513","11479360422.4128","15789449706.8114","17281763501.9775","18195011237.9207","29768908147.6813","33499042938.972","41162198994.5028","58082012515.7326","51007976411.1305","60996601968.2875","51301541397.8154","59965931307.259","47293554591.5853","42977020518.7505","63797645764.2549","103061147498.325","142253894261.538","176175972598.982","201611161797.622","134385495839.663","162543986890.387","182126279573.118","177987900516.941","212944971013.586","181122537298.88","213068402437.54","212874222959.627","212771667727.501","229843761125.826","212288108549.317","196697309263.323","278146085929.806","277241524713.757","233730323626.439","272378327005.318","",
"East Asia & Pacific","EAS","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","1906973498.1","2243066837","2650359015.62394","2014579663.02403","3526963191.11046","3396343571.5537","3451126412.42471","3025173435.46482","4079689976.40552","4786996829.79147","5994729553.82953","9003513278.89856","8478001553.60996","9088217943.42728","6385573830.65392","7361236504.01868","13718329642.5426","21167805534.1094","25777793319.3404","23722887550.9045","33593356783.673","27432312639.0648","38083745481.8132","59903206760.5646","72331208094.7124","89651923003.4096","94204888538.8682","109178782199.548","98107678525.164","129582201769.232","175116075295.563","127500112139.312","112941315360.833","126694972908.03","198673151509.404","189051752221.766","288249341851.28","396046220117.052","387220597528.408","287728960690.109","497355555495.973","560658339363.88","516624446374.131","591134454686.846","631242875169.851","617259465100.014","528883564693.191","560859151971.198","601824574692.08","532986069627.509","595276954094.822","826078977271.832","717649529392.588","469903889749.965","489776358678.173","",
"Europe & Central Asia (excluding high income)","ECA","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","58000000","45000000","43000000","79000000","64000000","114000000","10000000","27000000","34000000","75000000","18000000","95000000","55000000","46000000","113000000","99000000","125000000","115000000","354000000","663000000","715000000","810000000","1208400010","2385820000","1789946000","2947760000","3517695000","5028738000","5237723745.36043","4669143027.18075","4292919262.56017","9222050244.57847","7889333449.99512","11384534383.4133","18460242764.467","27998176010.312","43567230673.672","64993840294.8867","67944499612.1204","46221868634.1099","40138292861.6411","61721521370.8185","52250979256.6667","43878669866.264","40134442920.0678","44225910958.3385","52513989944.0153","35721733570.269","32415711361.8656","35787177642.4768","26545355555.15","39115544883.7132","33334246267.1368","39847567611.3404","38300908303.0993","",
"Europe & Central Asia","ECS","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","4502468280.4805","6020436971.20325","6617541587.46046","9854035953.88058","12799281521.0898","10273246606.2697","8273499392.19448","12618809029.8232","13854628515.4945","17607056302.7762","21045826581.7785","16467838715.0226","14710452955.5897","15791206135.2744","9970429000.39979","16902908858.3913","26305041186.6072","39533396089.1647","63558552468.9761","80164206908.5771","113097207031.223","91204141837.2075","89417781159.722","95532020225.4596","100587175666.884","150818235219.014","156966816582.789","190853298298.87","354782205967.181","610338638417.182","855981283031.7","456611275768.932","415145974403.969","389722779240.477","442286550593.294","1022462491424.17","1288265094852.06","1888271449692.59","1247792423843.57","767717933369.134","690362109993.007","1098244691859.46","827025715892.316","755891365503.173","623725554349.555","1152205189322.83","1347999783489.76","923313368959.804","-178217339352.826","675900327387.627","97893604833.5866","679515598378.235","307223188514.711","-337085723762.134","178538193053.375","",
"Ecuador","ECU","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","88599999.9","162099999.9","80799999.9","52299999.9","76799999.9","95299999.9","-19900000","34500000","48600000","63400000","70000000","60000000","40000000","50000000","50000000","62000000","81000000","123000000","155000000","160000000","126000000","160000000","178000000","473720000","576330000","452480000","499680000","723950000","869980000","648410000","-23439367.9139981","538568575.17","783261009.55","871513414.023619","836939593.895644","493413835.545644","271428852.53","193872526.929999","1057404020.15481","308629890.109","165893320.363638","646084358.687903","567417300.85638","727081206.263418","772389946.091118","1322701337.30747","766425868.122239","632320412.259197","1390163763.14022","984564496.243027","1119274900.76401","651125150.926888","881993803.529517","480987348.523188","443055171.69482","",
"Egypt, Arab Rep.","EGY","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","680000","2310000","30000","700000","130000","8000000","61000000","104777603.416204","318166137.202863","1216285716.02327","548285715.06898","752571429.646531","293571428.990816","490000000.7","729142857.576871","1177571428.57143","1217428571.42857","947714285.714286","1190000000","1250181818.18182","734000000","253000000","459000000","493000000","1256000000","598000000","636000000","890550000","1076000000","1065300000","1235000000","509900000","646900000","237400000","1253300000","5375600000","10042800000","11578100000","9494600000","6711600000","6385600000","-482700000","2797700000","4192200000","4612200000","6925200000","8106800000","7408700000","8141300000","9010100000","5851800000","5122300000","11399900000","9840600000","46578000000","",
"Euro area","EMU","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","2687319465.50087","3892857216.47694","5017927465.82469","6553991931.70185","7696387690.77087","6247329414.46466","5074944909.35443","7248983511.66335","9372703584.40218","10307935884.5312","10484468783.1625","9512933191.28372","8274369139.59258","9337466556.88046","9314912357.59604","9960639373.00162","13220773734.9684","23114251787.5093","33951312059.3853","45551979409.19","60745451145.9358","55020876180.5402","60365211688.8281","59336459872.4346","56657853097.1669","79907064927.1462","94117479063.1439","91587370735.771","174220642095.02","354035630631.158","556261075970.032","321509395144.893","254206419641.089","271085514310.593","271815192069.963","636066541112.345","823785650416.131","1288166381509.97","659737879209.034","547932902167.582","477871779371.333","845035971762.661","561932703689.792","600516789017.665","421126895159.985","819680943684.47","599747046737.476","544154518124.336","153196096306.178","432671199792.672","-43387587837.6301","511723596516.975","92136872935.9528","-274825872955.144","270761782205.364","",
"Eritrea","ERI","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","","36669547.2231249","40797036.645433","45493.2775877118","83222100","27870110","12131630","22766170","24999790","24103660","1431550","15375610","7206500","39000000","91000000","91000000","39000000","41358000","43859000","46511000","49323000","52305000","55468000","61015000","-60671910","-30349590","-31228190","-32045670","2070380","-27949590","",
"Spain","ESP","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","222000000","202000000","268000000","390000000","358000000","682635310.557578","477622019.881708","607674770.017613","1178156262.29804","1396810448.79965","1492697189.6098","1706766879.37235","1782685065.75119","1622388936.13354","1771829759.76171","1967804468.48446","3450598177.34751","4570700793.28043","7020568173.67176","8428379548.62269","13983611812.0264","12492782828.6164","13275723087.2105","10808165172.6316","8772628136.87355","8281607344.6532","9801379213.11597","9433660064.59713","15714658309.1109","19806975250.9892","40723543114.0509","29016725788.2085","39314607366.2039","31005892770.6414","25642926665.1153","28282647905.3934","35455663078.3571","70291846189.2949","71347116196.2984","7562359636.56542","35969020812.8424","25874478945.7384","19250404232.1962","47143326585.2815","31972292815.4555","23777330434.0906","44962670965.5697","33577736758.6064","63958429156.7585","30322872791.4496","37683095972.4205","64626902393.5776","67459796903.6798","46961991977.1583","42778827261.0579","",
"Estonia","EST","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82271988.6444622","168371544.554155","218447607.214571","206807479.410852","165850731.382423","274049611.936436","595587942.514285","325892789.377934","416214286.787886","592889580.182472","338234260.376913","1038244664.19461","1086893435.16594","3057558404.59854","1758167635.56107","3033145919.8766","1977264596.96391","1866296946.57529","2592255114.54212","1119148299.05952","1787341526.52249","1097942106.9872","1781648554.48116","-715465129.889721","925762256.709316","1735775304.25103","1273932848.01576","3113489502.24595","3823194189.12658","7525452742.65868","1731622424.00465","5200718270.12106","-3437916450.37682","",
"Ethiopia","ETH","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","5845410.63084319","0","0","0","0","0","0","0","0","0","0","0","0","12000010","6000010","170000","3500000","17210000","14140000","21930000","288490000","260670000","69980000","134640000","349400000","255000000","465000000","545100000","265111675.482385","545257102.178303","222000572.994807","108537543.965442","221459581.361983","288271568.250744","628624805.998664","278562822.162861","1343876023.73137","1855052153.64106","2626517918.31299","4142937496.46329","4017159564.65434","3360419368.65294","2548743427.35753","2395799880.65984","4259445795.28262","3669991332.17485","3262966283.51939","4021755290","",
"European Union","EUU","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","2899569468.79635","4101957483.49027","5247233595.42947","6849955524.37092","8012974185.66077","6594486584.5167","4895513546.8622","7411236947.02411","9556880496.67247","10674298739.7985","10849499996.7238","9811504829.69492","8777233645.86529","9639295532.57701","9617570868.50591","10479696702.4972","14482696247.5257","23850125597.7168","36143075340.1259","48464549239.6589","64506841223.5224","64773315942.1517","63652843742.0953","69607140947.9919","72276528046.88","110525979788.387","109979022503.617","116730524556.625","220143311492.528","452758331551.388","634200506229.248","366360079035.895","295298465434.405","293768597752.735","314210792152.141","732553887351.659","914388369612.78","1479575647574.99","825460956900.288","585517909000.086","480128559624.506","903651733603.218","582411385398.083","613498236804.181","468473023861.312","849890812406.505","729126074548.51","591455183723.147","133983702758.315","582178363188.55","178618904096.684","684481966450.194","238778768818.174","-256547430970.822","298512235322.144","",
"Fragile and conflict affected situations","FCS","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","688569999.6","694550000.10068","265599984.53911","341784999.595316","96138874.411609","435463580.534878","82121246.6943396","114816658.919227","-129582797.560825","167764191.886526","-1328336626.53529","358918746.306109","595042323.364189","359910767.506755","355433565.962628","1230989559.80755","124851458.334122","847357444.458392","813363384.647057","2378058795.31459","1381311626.24189","3516644271.37352","3014487398.72768","3527320288.65695","3584835057.93415","2752356130.70187","4316854608.3563","10428962351.2054","8904160691.01944","6935492654.21823","9383969703.25344","9410907285.38953","8480064189.94771","13558595393.8708","12246792251.572","23731519578.5703","23113929288.1391","38916430183.5403","42995143667.8904","31368060509.0179","35249129408.423","41769515576.9172","44368655635.7988","31862725936.3841","16529253176.7518","21727986243.0067","20746189896.4878","24111443732.3924","21797275863.236","20102816420.568","13356943066.2365","28536584110.3334","18698367149.609","18865909061.0784","17957822362.6674","",
"Finland","FIN","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","18000000","25000000","37000000","13000000","35000000","68270104.6169261","57984170.9085386","48060229.1996462","33797154.8324691","27528009.7492348","27949721.2814738","99646702.7266323","910574.132838514","84470656.84219","136184676.073096","112511585.51363","405308277.25387","273394061.108314","531741374.925324","490175830.765097","812172838.219176","-232904201.903944","396369713.714145","863526070.917893","277840045.043794","1450710446.10372","752969481.736254","2454075989.11363","12514915951.3825","7797795098.68142","13502068644.6076","3224710299.84937","8094575465.08978","5965369887.32256","6777097341.61981","10867806670.7033","4639183791.01375","21980490453.9879","19406654259.4436","-8826315342.10639","12221047445.4544","-6008929965.54385","4930356141.26224","-4959133088.96143","17544672687.0996","17579437753.2438","5228087258.97726","16909619226.7668","-10529085853.8372","16280099519.3449","-2535610877.45159","23579233204.9062","13079164235.1595","-114798799.087339","8741865603.01226","",
"Fiji","FJI","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","6400000","6500000","8500000","15699999.9","14300000","14100000","7330000","17100000","12190000","10170587.689665","36334087.8249029","36249750.0550676","36827764.6420869","31946263.9704152","23314315.2854096","21672150.9326871","8032725.26446812","16159396.5014773","31602682.4990824","30606741.5730338","-30386755.8761796","-40188200.0532002","37791314.9836244","-3243015.3556777","-31281482.1138905","-22683100.2607253","-72186987.8144374","-60193603.1308985","20334035.1819073","-147083835.755537","591375.114626135","41301896.3502762","30672578.3302518","40310494.5421483","250597673.082846","172951928.727855","583975309.323135","464230334.109297","679220489.280091","308373711.003253","178091735.587234","217158525.728721","277313671.991809","243782754.036691","377869372.267011","205373209.116505","391619655.400881","387602565.305445","468861002.876234","322282826.115833","239380737.90361","409894560.465738","103581591.564162","90569882.8356575","203609190.995767","",
"France","FRA","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","621212781.7","525655900","656666980.5","1125479246.6","1846644387.7","1563849883.25955","977422843.564051","1896159371.65279","2471468400.48404","2588309412.66379","3282773277.87031","2469631624.9973","1585298782.09975","1725670868.53761","2397989218.95718","2595492779.80055","3255870956.36327","5139716801.65678","8489906284.29327","10303924628.9084","13183285334.811","15152742089.8423","21839501253.074","20754044035.6782","15797125294.9865","23736300874.0227","21971888803.0023","23047924754.7559","29518429032.2113","45971216472.0884","41389082664.7627","50142053918.8908","51550483853.8508","42350800678.3508","35608535812.8718","85137061931.2535","78957053786.1348","83777598395.4499","67997446904.9733","18422928061.913","38889439213.3126","44205811126.5791","32944663317.8722","33461592993.8228","5063648998.48313","43133325471.3567","35623357280.0881","43733253503.8812","77493098693.2377","53499337503.7413","19368829836.4654","98012545019.163","112295479269.655","18051596853.4685","52052548617.7634","",
"Faroe Islands","FRO","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20209300","","","","","","","","","","","",
"Gabon","GAB","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","-700000","15699999.9","17399999.9","15900000","79599999.9","166900000","38700000","34899999.9","56546282.4088442","55048465.0520873","31522217.0310212","54575942.022219","131738211.444365","111844131.911157","8124375.43113784","15091384.2509476","110249347.782176","89806044.8430393","132550733.915725","-30532121.0000975","73457901.5900881","-54589233.7944703","126940086.185977","-113715590.728322","-99602903.9968595","-195496960.295521","-285112515.098994","-114712203.811615","132605754.18622","89452781.6263726","278061231.967685","-100615451.014713","1160708.31013769","99666154.0233406","313970792.039638","326161877.897877","267805000","654808577.188853","693511288.988999","635674956.848352","523939106.191844","1123536918.98497","677327365.545557","324032442.445876","1263109047.12989","41707702.3264655","1243660160","1314029330","1379070820","1553136880","1716511510","1529221080","1104592040","1150733280","1144562350","",
"United Kingdom","GBR","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","1487998811.68415","1771224349.2066","1207963191.18523","2722732319.90587","4373743379.63996","3318535789.63079","3006207709.47437","4426545753.96917","3787370849.09204","6469481160.44532","10122844315.8157","5879375698.17586","5413259759.41739","5178781725.93574","-347322544.783191","5476472897.18803","8569621721.76597","13074923701.8406","26430921298.4346","27108240789.3914","41363405438.8264","23244186242.4529","23011210833.6831","19686257926.6484","19561337402.3077","29129258040.8363","32412668835.2521","51311836383.8207","109817612847.492","129891584490.273","164130335444.122","56090924808.7937","89760582753.2234","36011240472.8341","87059621382.2838","252653397148.111","203636431868.244","209514959646.908","253454117907.321","14547108445.0914","66734551294.0913","27012050072.3452","46750789727.7263","54473175400.2415","58890445252.7139","45333483122.0899","324813224213.021","125358809934.12","-25055440306.9073","19790761929.1276","157185559299.989","102431564639.492","92776358059.3492","13789803776.1608","-12955141484.5037","",
"Georgia","GEO","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10000","8000000","","","242500000","265300000","82300000","131466678.34","109871635.49","160398660.46","334891041.62","492732940.01","453107292.01","1171394522.25","1892093991.1","1602232455.97","660800885.27","920915812.73","1170087549.5","968196197.63","1046562195.15","1836879042.83","1735307118.63","1659824033.37","1930381394.76","1304024907.7","1397879177.29","557173503.19","1290232130.97","2257736899.85","2111981302.94","1602929459.4","",
"Ghana","GHA","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","67799999.9","30600000","11500000","14400000","14270000","70869954.9990845","-18260969.9999066","19217479.3838501","9696236.56497192","-2800000","15600000","16263751.9999695","16300000","2400000","2000000","5600000","4300000","4700000","5000000","15000000","14800000","20000000","22500000","125000000","233000000","106500000","120000000","81800000","167400000","243700000","165900000","89320000","58930000","136751000","139270000","144970000","636010000","1383177929.85458","2714916343.69978","2372540000","2527350000","3247588000","3294520000","3227000000","3363389444.44444","3192320530.7897","3485333369.27963","3254990000","2989035000","3879831469.7","1875782953.46905","2533586462.03873","1428411737.133","1319315614.67989","1765552579.5641","",
"Gibraltar","GIB","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","780000","1450000","870000","-700000","-1830000","630000","-520000","560000","-1310000","-400000","380000","700000","1110000","8400000","12850000","15680000","12330000","17860000","38770000","19690000","2720000","210000","769000","23774000","17301000","17810000","63452427","9942000","1677000","30000000","78966000","97900000","105000000","125000000","385900000","381880000","91030000","","956060000","605560000","189999.999999999","-73758603.6635933","53272458.4212993","1618447260.26485","577590000","352760000","44400000","176350000","197610000","658300000","1314930000","1401830000","",
"Gambia, The","GMB","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","100000","1700000","1700000","1399999.9","1200000","100000","900000","-560000","2104763.22636564","12364861.5970649","280000","2009878.34170447","270000","-400000","-1700000","-500000","-1990000","1525217.66358355","1177623.96914136","13713834.3210935","14120000","9270433.33943913","6323269.18631977","10741221.6768598","9716366.67037366","7729249.07225426","10655113.9800557","11666476.0379732","23700000","49480000","43520000","35480000","42827000","18272720.342347","55526319.440783","53650280.019084","82208102.5877649","78094820.9585794","70792382.3207137","39447343.7084005","37140887.8131733","36077136.0813734","41183457.7698366","68340322.3788479","23014092.042456","71976051.7034138","69830172.212844","64338516.0351372","81805006.5959045","71083305.8667937","189576190.794226","251822628.807365","231488000","205541473.783854","232357063.917134","",
"Guinea-Bissau","GNB","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","-130000","","40000","","230000","","","0","0","2290000","1439999.9","820000","120000","680000","470000","2020000","2090000","5830000","3300000","430000","40000","1030000","11479110","4407140","730880","702270","395613.596288615","3545253.68893724","4005503.68688217","1915633.35188715","8692468.08975684","17887123.5620828","18770117.49192","6630074.02775762","18890200","26240200","25024047.388377","6624917.19274534","19639703.7983811","28852727.6882278","18575499.4478127","23998591.3709028","15691197.9520896","20563818.2174004","71658680.3379901","20989721.6146961","18529723.3545945","21658003.8438931","25133300.8212657","26650161.3251044","",
"Equatorial Guinea","GNQ","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","-20000","","","-180000","450000","520000","2169999.9","2439999.9","5629999.9","1679999.9","500000","890258.9696127","11073778.6647058","41324758.9335023","6018320.15756731","22301675.6350731","16995533.4921224","126924170.672485","376180404.220707","53451530","274768120","154296170","154499590","940741220","323391510","689779770","340914470","769146190","469506010","1242731090","-793872330","1636219630","2734000000","1975000000","985256410","582948700","167875180","1187699010","1755302290","384833210","-144465770","821413130","-9072490","561595620","1388191640","141780890","188011680","",
"Greece","GRC","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","50000000","42000000","55000000","62000000","67000000","24000000","305000000","387000000","428000000","613000000","672000000","520000000","436000000","439000000","485000000","447000000","471000000","683000000","907000000","752000000","1005000000","1135000000","1144000000","977000000","981000000","1053000000","1058000000","984000000","71200000","82701091.4183122","-8195469.28845515","2001266.562202","34180546.5370638","1408086698.6235","2147927926.75839","688484256.649083","5411403362.23117","1957124444.19442","5733447473.24928","2766296835.47184","532926980.500431","1092191387.83038","1662090329.838","2945271844.68568","2697339246.05447","1268938505.86333","2698544612.16074","3439131879.75516","4025447788.57702","4999635989.53693","3303648833.22836","6585182436.31199","8057970156.10279","4722066764.49033","6742277267.34835","",
"Grenada","GRD","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","-100000","1400000","0","0","0","1900000","2500000","2800000","4111111.11111111","4481481.48148148","14722222.2222222","14981481.4814815","10481481.4814815","12874074.074074","15274074.074074","22581481.4814814","20248148.1481481","19311111.1111111","19977777.7777777","16962962.9629629","33500000","48685185.1851851","41551851.8518518","57489395.5781314","89573443.4257733","77853769.5825333","99087992.4481011","126368484.200109","81610825.3572085","102721704.256898","165223965.032908","144428158.500629","108699954.353645","55654134.8196244","85923082.6467677","49813748.8307485","130377747.928618","83736824.3611111","154268835.19","109416203.7508","153278369.778148","185990696.386518","208615795.555555","141277504.814814","152223567.037037","162962004.814814","220251551.111111","163925451.481481","",
"Greenland","GRL","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","29399999.9","28600000","15900000","34799999.9","47399999.9","80000000","12500000","97500000","127200000","117000000","110700000","127100000","77100000","45000000","38000000","61800000","68800000","150200000","329900000","76200000","47700000","90700000","94100000","142500000","65200000","75200000","76900000","631400000","1346300000","924600000","-788600000","-936494410.38247","-1016996773.78154","19488617.59936","321400000","540000000","635300000","859200000","731386670","499821250","1102460180","876760590","1399819890","1522143500","1407555280","1203355080","845786560","998344470","922397870","1170758860","1004371660","3626364530","1450072830","1650310370","1848004120","",
"Guam","GUM","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","9000000","-2439999.9","2500000","8199999.9","1360000","800000","5009999.9","-1764705.88304498","4019999.9","588235.294348328","588235.294348328","-1777777.77840988","4433333.33481111","4733333.33491111","4489019.5194584","1810974.26891343","-9000000","4349999.9","2100000","-2060000","7900000","12340000","146610000","69540000","106690000","74420000","59000000","52000000","44000000","46000000","67100000","56000000","43600000","26100000","30000000","76800000","102400000","152400000","178000000","164000000","198000000","246800000","277910000","200558390","237750048.55","137700000","58000000","212241105.393472","1231760000","2690327775.794","1283062521.17088","2236503735.22896","-2996952015.17","-1135036125.52568","8629500000","",
